gender,age_band,num_of_prev_attempts,score,final_result,dataset
F,0-35,0,11.0,Pass,D1
F,0-35,0,11.0,Pass,D1
F,0-35,0,12.0,Pass,D1
F,0-35,0,14.0,Good,D1
F,0-35,0,13.0,Pass,D1
M,0-35,0,13.0,Pass,D1
M,0-35,0,13.0,Pass,D1
F,0-35,0,13.0,Pass,D1
M,0-35,0,17.0,Excellent,D1
M,0-35,0,13.0,Pass,D1
F,0-35,0,14.0,Good,D1
F,0-35,0,13.0,Pass,D1
M,0-35,0,12.0,Pass,D1
M,0-35,0,13.0,Pass,D1
M,0-35,0,15.0,Good,D1
F,0-35,0,17.0,Excellent,D1
F,0-35,0,14.0,Good,D1
F,0-35,0,14.0,Good,D1
M,0-35,3,7.0,Fail,D1
M,0-35,0,12.0,Pass,D1
M,0-35,0,14.0,Good,D1
M,0-35,0,12.0,Pass,D1
M,0-35,0,14.0,Good,D1
M,0-35,0,10.0,Fail,D1
F,0-35,0,10.0,Fail,D1
F,0-35,0,12.0,Pass,D1
M,0-35,0,12.0,Pass,D1
M,0-35,0,11.0,Pass,D1
M,0-35,0,13.0,Pass,D1
M,0-35,0,12.0,Pass,D1
M,0-35,0,11.0,Pass,D1
M,0-35,0,15.0,Good,D1
M,0-35,0,15.0,Good,D1
M,0-35,0,12.0,Pass,D1
M,0-35,0,12.0,Pass,D1
F,0-35,0,11.0,Pass,D1
M,0-35,0,14.0,Good,D1
M,0-35,0,13.0,Pass,D1
F,0-35,0,12.0,Pass,D1
F,0-35,0,12.0,Pass,D1
F,0-35,0,10.0,Fail,D1
M,0-35,0,11.0,Pass,D1
M,0-35,0,15.0,Good,D1
M,0-35,0,10.0,Fail,D1
F,0-35,1,11.0,Pass,D1
F,0-35,0,11.0,Pass,D1
F,0-35,0,13.0,Pass,D1
M,0-35,0,17.0,Excellent,D1
M,0-35,0,13.0,Pass,D1
F,0-35,0,12.0,Pass,D1
F,0-35,0,13.0,Pass,D1
F,0-35,0,16.0,Good,D1
M,0-35,0,9.0,Fail,D1
F,0-35,0,12.0,Pass,D1
F,0-35,0,13.0,Pass,D1
F,0-35,0,12.0,Pass,D1
F,0-35,0,15.0,Good,D1
M,0-35,0,16.0,Good,D1
M,0-35,0,14.0,Good,D1
F,0-35,0,16.0,Good,D1
F,0-35,0,16.0,Good,D1
F,0-35,0,16.0,Good,D1
F,0-35,0,10.0,Fail,D1
F,0-35,0,13.0,Pass,D1
F,0-35,0,12.0,Pass,D1
F,0-35,0,16.0,Good,D1
M,0-35,0,12.0,Pass,D1
F,0-35,0,10.0,Fail,D1
F,0-35,0,11.0,Pass,D1
F,0-35,0,15.0,Good,D1
M,0-35,0,11.0,Pass,D1
M,0-35,0,10.0,Fail,D1
F,0-35,0,11.0,Pass,D1
M,0-35,0,14.0,Good,D1
F,0-35,0,11.0,Pass,D1
M,0-35,0,11.0,Pass,D1
M,0-35,0,11.0,Pass,D1
F,0-35,0,13.0,Pass,D1
M,0-35,3,10.0,Fail,D1
F,0-35,0,11.0,Pass,D1
M,0-35,0,12.0,Pass,D1
