num_assessments,average_score,original_final_result
5.0,82.0,Aprovado
5.0,66.4,Aprovado
0.0,0.0,Reprovado
5.0,76.0,Aprovado
5.0,54.4,Aprovado
5.0,68.0,Aprovado
5.0,68.0,Aprovado
5.0,72.4,Aprovado
5.0,71.4,Aprovado
5.0,78.0,Aprovado
5.0,74.0,Aprovado
5.0,73.2,Aprovado
5.0,78.6,Aprovado
5.0,76.0,Aprovado
5.0,71.6,Aprovado
2.0,67.0,Reprovado
5.0,55.6,Aprovado
5.0,80.4,Aprovado
4.0,48.5,Reprovado
5.0,66.0,Aprovado
5.0,70.4,Aprovado
5.0,70.8,Aprovado
1.0,74.0,Reprovado
5.0,60.6,Aprovado
5.0,68.4,Aprovado
5.0,72.6,Aprovado
5.0,78.0,Aprovado
5.0,76.6,Aprovado
5.0,79.6,Aprovado
3.0,60.0,Reprovado
5.0,53.4,Aprovado
5.0,63.4,Aprovado
3.0,81.0,Aprovado
5.0,77.6,Aprovado
5.0,71.8,Aprovado
5.0,72.8,Aprovado
5.0,62.4,Aprovado
5.0,74.2,Aprovado
5.0,61.8,Aprovado
5.0,71.4,Aprovado
5.0,69.6,Aprovado
3.0,81.0,Reprovado
5.0,67.4,Aprovado
5.0,84.4,Aprovado
0.0,0.0,Reprovado
2.0,61.5,Reprovado
5.0,80.2,Aprovado
5.0,72.6,Aprovado
1.0,45.0,Reprovado
5.0,73.6,Aprovado
5.0,68.8,Aprovado
5.0,54.4,Aprovado
5.0,50.0,Reprovado
4.0,73.75,Reprovado
1.0,52.0,Reprovado
3.0,72.0,Reprovado
5.0,50.0,Aprovado
5.0,67.0,Aprovado
5.0,79.8,Aprovado
2.0,80.0,Reprovado
5.0,70.6,Aprovado
2.0,66.5,Reprovado
5.0,71.8,Aprovado
5.0,69.4,Aprovado
5.0,66.4,Aprovado
5.0,69.6,Aprovado
5.0,61.4,Aprovado
5.0,80.4,Aprovado
5.0,82.4,Aprovado
5.0,78.2,Aprovado
5.0,37.6,Reprovado
5.0,53.4,Aprovado
1.0,76.0,Reprovado
5.0,54.0,Aprovado
5.0,49.0,Aprovado
5.0,59.8,Aprovado
1.0,74.0,Reprovado
5.0,76.0,Aprovado
5.0,89.2,Aprovado
1.0,76.0,Reprovado
5.0,79.4,Aprovado
5.0,68.4,Aprovado
1.0,50.0,Reprovado
5.0,54.4,Aprovado
3.0,66.66666666666667,Reprovado
5.0,72.2,Aprovado
3.0,56.666666666666664,Reprovado
5.0,83.6,Aprovado
5.0,62.6,Reprovado
5.0,72.4,Aprovado
5.0,61.8,Aprovado
